"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description"
"Bible reading","01/01/14","06:00:00 AM","01/01/14","06:30:00 AM","False","Matthew 1; Genesis 1; Romans 1; 1 Thessalonians 1; Job 1; Psalms 1; Proverbs 1; Joshua 1; Isaiah 1; Acts 1

http://www.biblegateway.com/passage/?search=Matthew%201,%20Genesis%201,%20Romans%201,%201%20Thessalonians%201,%20Job%201,%20Psalms%201,%20Proverbs%201,%20Joshua%201,%20Isaiah%201,%20Acts%201&version=NLT"
"Bible reading","01/02/14","06:00:00 AM","01/02/14","06:30:00 AM","False","Matthew 2; Genesis 2; Romans 2; 1 Thessalonians 2; Job 2; Psalms 2; Proverbs 2; Joshua 2; Isaiah 2; Acts 2

http://www.biblegateway.com/passage/?search=Matthew%202,%20Genesis%202,%20Romans%202,%201%20Thessalonians%202,%20Job%202,%20Psalms%202,%20Proverbs%202,%20Joshua%202,%20Isaiah%202,%20Acts%202&version=NLT"
"Bible reading","01/03/14","06:00:00 AM","01/03/14","06:30:00 AM","False","Matthew 3; Genesis 3; Romans 3; 1 Thessalonians 3; Job 3; Psalms 3; Proverbs 3; Joshua 3; Isaiah 3; Acts 3

http://www.biblegateway.com/passage/?search=Matthew%203,%20Genesis%203,%20Romans%203,%201%20Thessalonians%203,%20Job%203,%20Psalms%203,%20Proverbs%203,%20Joshua%203,%20Isaiah%203,%20Acts%203&version=NLT"
"Bible reading","01/04/14","06:00:00 AM","01/04/14","06:30:00 AM","False","Matthew 4; Genesis 4; Romans 4; 1 Thessalonians 4; Job 4; Psalms 4; Proverbs 4; Joshua 4; Isaiah 4; Acts 4

http://www.biblegateway.com/passage/?search=Matthew%204,%20Genesis%204,%20Romans%204,%201%20Thessalonians%204,%20Job%204,%20Psalms%204,%20Proverbs%204,%20Joshua%204,%20Isaiah%204,%20Acts%204&version=NLT"
"Bible reading","01/05/14","06:00:00 AM","01/05/14","06:30:00 AM","False","Matthew 5; Genesis 5; Romans 5; 1 Thessalonians 5; Job 5; Psalms 5; Proverbs 5; Joshua 5; Isaiah 5; Acts 5

http://www.biblegateway.com/passage/?search=Matthew%205,%20Genesis%205,%20Romans%205,%201%20Thessalonians%205,%20Job%205,%20Psalms%205,%20Proverbs%205,%20Joshua%205,%20Isaiah%205,%20Acts%205&version=NLT"
"Bible reading","01/06/14","06:00:00 AM","01/06/14","06:30:00 AM","False","Matthew 6; Genesis 6; Romans 6; 2 Thessalonians 1; Job 6; Psalms 6; Proverbs 6; Joshua 6; Isaiah 6; Acts 6

http://www.biblegateway.com/passage/?search=Matthew%206,%20Genesis%206,%20Romans%206,%202%20Thessalonians%201,%20Job%206,%20Psalms%206,%20Proverbs%206,%20Joshua%206,%20Isaiah%206,%20Acts%206&version=NLT"
"Bible reading","01/07/14","06:00:00 AM","01/07/14","06:30:00 AM","False","Matthew 7; Genesis 7; Romans 7; 2 Thessalonians 2; Job 7; Psalms 7; Proverbs 7; Joshua 7; Isaiah 7; Acts 7

http://www.biblegateway.com/passage/?search=Matthew%207,%20Genesis%207,%20Romans%207,%202%20Thessalonians%202,%20Job%207,%20Psalms%207,%20Proverbs%207,%20Joshua%207,%20Isaiah%207,%20Acts%207&version=NLT"
"Bible reading","01/08/14","06:00:00 AM","01/08/14","06:30:00 AM","False","Matthew 8; Genesis 8; Romans 8; 2 Thessalonians 3; Job 8; Psalms 8; Proverbs 8; Joshua 8; Isaiah 8; Acts 8

http://www.biblegateway.com/passage/?search=Matthew%208,%20Genesis%208,%20Romans%208,%202%20Thessalonians%203,%20Job%208,%20Psalms%208,%20Proverbs%208,%20Joshua%208,%20Isaiah%208,%20Acts%208&version=NLT"
"Bible reading","01/09/14","06:00:00 AM","01/09/14","06:30:00 AM","False","Matthew 9; Genesis 9; Romans 9; 1 Timothy 1; Job 9; Psalms 9; Proverbs 9; Joshua 9; Isaiah 9; Acts 9

http://www.biblegateway.com/passage/?search=Matthew%209,%20Genesis%209,%20Romans%209,%201%20Timothy%201,%20Job%209,%20Psalms%209,%20Proverbs%209,%20Joshua%209,%20Isaiah%209,%20Acts%209&version=NLT"
"Bible reading","01/10/14","06:00:00 AM","01/10/14","06:30:00 AM","False","Matthew 10; Genesis 10; Romans 10; 1 Timothy 2; Job 10; Psalms 10; Proverbs 10; Joshua 10; Isaiah 10; Acts 10

http://www.biblegateway.com/passage/?search=Matthew%2010,%20Genesis%2010,%20Romans%2010,%201%20Timothy%202,%20Job%2010,%20Psalms%2010,%20Proverbs%2010,%20Joshua%2010,%20Isaiah%2010,%20Acts%2010&version=NLT"
"Bible reading","01/11/14","06:00:00 AM","01/11/14","06:30:00 AM","False","Matthew 11; Genesis 11; Romans 11; 1 Timothy 3; Job 11; Psalms 11; Proverbs 11; Joshua 11; Isaiah 11; Acts 11

http://www.biblegateway.com/passage/?search=Matthew%2011,%20Genesis%2011,%20Romans%2011,%201%20Timothy%203,%20Job%2011,%20Psalms%2011,%20Proverbs%2011,%20Joshua%2011,%20Isaiah%2011,%20Acts%2011&version=NLT"
"Bible reading","01/12/14","06:00:00 AM","01/12/14","06:30:00 AM","False","Matthew 12; Genesis 12; Romans 12; 1 Timothy 4; Job 12; Psalms 12; Proverbs 12; Joshua 12; Isaiah 12; Acts 12

http://www.biblegateway.com/passage/?search=Matthew%2012,%20Genesis%2012,%20Romans%2012,%201%20Timothy%204,%20Job%2012,%20Psalms%2012,%20Proverbs%2012,%20Joshua%2012,%20Isaiah%2012,%20Acts%2012&version=NLT"
